Name,Credential URL
Git Essential Training: The Basics (2019),https://www.linkedin.com/learning/certificates/779ddc50df8553870a76f3a7230347d32bedb79c136b744231473cd212e125a3
Learning Linux Command Line (2018),https://www.linkedin.com/learning/certificates/c28f2b2579f3b4e8e4e65ba39c4a8908fdee4ab08e152c28009410f9dc2d0bda
Programming Foundations: APIs and Web Services,https://www.linkedin.com/learning/certificates/43e445938120287e9978dddce17b803722547d123a25c46f446334783c191040
Building an Android App with Architecture Components,https://www.linkedin.com/learning/certificates/6e462e40425de75138c21c7fe80e4267303416ad8bdaf82b2cb289b9ac2537c2
Android Development Essential Training: App Architecture with Kotlin,https://www.linkedin.com/learning/certificates/67f14f2f60ca31f852fcb8906a6e12110e72bf7e7d9421015723d81eca2aa5ab
Programming Foundations: Algorithms,https://www.linkedin.com/learning/certificates/164b04c3230ca97cc8e3fcf94e9061811cf959b62b79cd78fdd081cdfc36f534
Java: Database Integration with JDBC,https://www.linkedin.com/learning/certificates/10bc68b26c0d60848ccd7b04d120c3274775b914c9b7028442025ae65fec9b84
Programming Foundations: Databases,https://www.linkedin.com/learning/certificates/42b742aa8b85e2deebe57e7aca76fec02f9e75c528c2230ad3014bd784b83009
Java 8+ Essential Training: Objects and APIs,https://www.linkedin.com/learning/certificates/223dbf6f44fa1896de54bc2f3cf72d63595214d6adc20c970e6c43c0171869ca
Java 8+ Essential Training: Syntax and Structure,https://www.linkedin.com/learning/certificates/159a170052544ea7ca4171d2d1a60d41d7064764f777311ae0c847df185a6c1b
Learning Java Applications (2019),https://www.linkedin.com/learning/certificates/435d183965d12af173f753cecbd765f7d5f21069ad35cdcdb8355ac53f775c69
MySQL Essential Training,https://www.linkedin.com/learning/certificates/b029c77f764caf6399c59e3152b0961225b57f85f1e36429abb900c3fa38ad37
Introduction to Data Structures & Algorithms in Java,https://www.linkedin.com/learning/certificates/99501668359327ee8c4a2f248eb8a75c05dd28168b29ed224b9354264d38566a
Learning Java (2018),https://www.linkedin.com/learning/certificates/b18bad8a83cc4fc6a45329764d615eaf256bb58901fe6289463e1d92f34791a1
Create and Manage Cloud Resources,https://www.cloudskillsboost.google/public_profiles/23594fa8-8c63-4d59-b0b8-178133f84a39/badges/3104503?utm_medium=social&utm_source=linkedin&utm_campaign=ql-social-share
Spanish Vocabulary Project,https://www.coursera.org/account/accomplishments/certificate/FJCWY9SZSV86
"Spanish Vocabulary: Sports, Travel, and the Home",https://www.coursera.org/account/accomplishments/certificate/7X4YFZ46G5G9
Spanish Vocabulary: Careers and Social Events,https://www.coursera.org/account/accomplishments/certificate/V29QAPM26UVU
Learn Spanish: Basic Spanish Vocabulary Specialization,https://www.coursera.org/account/accomplishments/specialization/certificate/2X9LLXHM2U4S
Spanish Vocabulary: Cultural Experience,https://www.coursera.org/account/accomplishments/certificate/TP6DPB7WZ62K
Spanish Vocabulary: Meeting People,https://www.coursera.org/account/accomplishments/certificate/KVV57CNDJCPW
Algorithms on Graphs,https://www.coursera.org/account/accomplishments/certificate/C4MY9WJT4A8F
Photography Capstone Project,https://www.coursera.org/account/accomplishments/certificate/5LZQZJJ7NR95
"Photography Techniques: Light, Content, and Sharing",https://www.coursera.org/account/accomplishments/certificate/M7JKZUL2K2MD
Principles of Photo Composition and Digital Image Post-Production,https://www.coursera.org/account/accomplishments/certificate/NK4RLQYR4Y8C
Algorithmic Toolbox,https://www.coursera.org/account/accomplishments/certificate/JG2PE72HES8W
"Cameras, Exposure, and Photography",https://www.coursera.org/account/accomplishments/certificate/J2HJ79T823J6
Camera Control,https://www.coursera.org/account/accomplishments/certificate/G3PECHR8EMZV
Photography Basics and Beyond: From Smartphone to DSLR Specialization,https://www.coursera.org/account/accomplishments/specialization/certificate/SLBN2CJ8ECWJ
